CowTagID,FragmentID,CC_final,CC_cm2_final,Donor_Colony,CC_initial,CC_cm2_initial
5,5m,27.31458333333333,1.0846569937635218,O,33.74347222222222,2.2366610013455133
11,11m,17.678694444444446,1.3326106180144648,U,103.03745833333335,4.940477485784532
1,1m,43.778000000000006,2.5720782033286538,I,37.94972222222221,3.110142719551702
6,6m,69.888375,3.0681262135922345,F,69.79565277777779,4.222657294292549
12,12m,16.922402777777773,1.0809383069302139,G,50.92,2.911313908741063
2,2m,47.26708333333333,2.2153117019678557,E,74.7615,3.5039188823794505
7,7m,52.540000000000006,2.923574103798822,M,43.04166666666667,4.619539043687647
13,13m,26.503944444444446,1.6568499514022241,W,73.01193055555555,4.839541604702216
4,4m,33.57695833333334,1.919738134506137,J,71.70944444444444,4.099935251359106
9,9m,27.03377777777778,1.8508972277082885,B,56.47091666666667,4.452596916856208
14,14m,35.889125,2.705303222279391,X,53.67209722222222,4.398658874004027
20,20m,39.9685,1.9560331551695345,L,33.87175,2.319066491112575
4,4s,62.205736111111115,2.9942961525473253,J,71.70944444444444,4.099935251359106
9,9s,20.717805555555557,1.3528676237525694,B,56.47091666666667,4.452596916856208
14,14s,45.397,2.4241518133770734,X,53.67209722222222,4.398658874004027
18,18s,57.146680555555555,2.9436625942435755,N,65.75616666666666,4.358598682812831
2,2c,27.259333333333334,1.9978651632605133,E,74.7615,3.5039188823794505
6,6c,26.27940277777778,1.9407582405982435,F,69.79565277777779,4.222657294292549
15,15m,59.10236111111111,2.8449140472409296,D,52.04090277777777,3.953436003571137
1,1s,23.936750000000004,1.804339529199896,I,37.94972222222221,3.110142719551702
5,5s,21.918722222222225,0.755066946376651,O,33.74347222222222,2.2366610013455133
10,10s,31.296416666666666,1.6711955683129822,T,58.729111111111116,2.3775116993209644
15,15s,50.70573611111111,2.7076327101431663,D,52.04090277777777,3.953436003571137
19,19s,30.984500000000004,1.857675158583999,V,67.54888888888888,4.209157845682709
3,3c,73.7145,2.4283522331327214,C,59.41429166666667,3.219951189855832
7,7c,72.61875,3.4955304337111905,M,43.04166666666667,4.619539043687647
16,16m,58.095000000000006,2.7964243469689523,S,92.55027777777778,4.888384402686071
2,2s,21.68084722222222,1.5933002849538775,E,74.7615,3.5039188823794505
6,6s,52.89305555555555,2.6701741820347213,F,69.79565277777779,4.222657294292549
11,11s,55.82752777777778,2.244746210908316,U,103.03745833333335,4.940477485784532
16,16s,73.175,2.7483568075117377,S,92.55027777777778,4.888384402686071
20,20s,43.953,2.3906124002227576,L,33.87175,2.319066491112575
4,4c,31.54,1.624645864289254,J,71.70944444444444,4.099935251359106
8,8c,65.00025,2.987931165673045,R,76.11888888888889,4.235615005053206
19,19m,48.376805555555556,3.312171018945214,V,67.54888888888888,4.209157845682709
3,3s,40.71145833333333,2.2653780988050642,C,59.41429166666667,3.219951189855832
7,7s,72.19684722222222,3.103957052960357,M,43.04166666666667,4.619539043687647
13,13s,46.33222222222222,2.668633990782605,W,73.01193055555555,4.839541604702216
17,17s,57.2225,2.073227711141336,H,77.91947222222221,4.2228374732210066
1,1c,40.76605555555556,2.2684161464835615,I,37.94972222222221,3.110142719551702
5,5c,20.28194444444444,0.9095826745244577,O,33.74347222222222,2.2366610013455133
9,9c,25.04444444444444,1.608784572095258,B,56.47091666666667,4.452596916856208
13,13c,48.160125,2.244459459996819,W,73.01193055555555,4.839541604702216
18,18c,44.285624999999996,2.3391086846114764,N,65.75616666666666,4.358598682812831
2,2h,17.412499999999998,1.4855619360131265,E,74.7615,3.5039188823794505
7,7h,110.93306944444444,5.715384094816634,M,43.04166666666667,4.619539043687647
11,11h,20.383541666666666,1.443082595870206,U,103.03745833333335,4.940477485784532
15,15h,61.118625,3.0721783470275486,D,52.04090277777777,3.953436003571137
19,19h,68.71577777777777,3.6693498977380883,V,67.54888888888888,4.209157845682709
10,10c,34.16179166666666,1.824203564485754,T,58.729111111111116,2.3775116993209644
15,15c,43.349500000000006,2.8307117227546255,D,52.04090277777777,3.953436003571137
19,19c,52.531111111111116,2.578214042263117,V,67.54888888888888,4.209157845682709
4,4h,50.929125000000006,1.9412298198256805,J,71.70944444444444,4.099935251359106
8,8h,45.863611111111105,2.1990850878541046,R,76.11888888888889,4.235615005053206
12,12h,38.730625,1.5379858724704072,G,50.92,2.911313908741063
16,16h,50.867666666666665,3.1134794930715124,S,92.55027777777778,4.888384402686071
20,20h,65.476125,2.912479827690905,L,33.87175,2.319066491112575
11,11c,65.49277777777777,1.6419426618369901,U,103.03745833333335,4.940477485784532
16,16c,43.30645833333333,3.065943952802359,S,92.55027777777778,4.888384402686071
20,20c,34.51295833333334,1.920464241127162,L,33.87175,2.319066491112575
5,5h,24.67361111111111,1.1144393487830353,O,33.74347222222222,2.2366610013455133
9,9h,18.927097222222226,1.4267145577852107,B,56.47091666666667,4.452596916856208
13,13h,43.525777777777776,2.7209415167247477,W,73.01193055555555,4.839541604702216
17,17h,30.65277777777778,1.4049752705548204,H,77.91947222222221,4.2228374732210066
12,12c,26.12675,1.5052216821228366,G,50.92,2.911313908741063
17,17c,43.08611111111111,2.259572320665033,H,77.91947222222221,4.2228374732210066
1,1h,40.31166666666666,0.9458891914257492,I,37.94972222222221,3.110142719551702
6,6h,54.40359722222223,2.8735267197110796,F,69.79565277777779,4.222657294292549
10,10h,43.77444444444445,2.0989129655243084,T,58.729111111111116,2.3775116993209644
14,14h,31.091819444444443,2.228995130223202,X,53.67209722222222,4.398658874004027
18,18h,69.7711388888889,2.880586917207004,N,65.75616666666666,4.358598682812831
