CowTagID,FragmentID,ED_final,ED_initial
10,10c,0.10891381902679059,0.08438411833398211
10,10h,0.12771046565237443,0.08438411833398211
10,10s,0.10506509021323127,0.08438411833398211
11,11c,0.11110972661932068,0.4567908713692938
11,11h,0.08386725663716811,0.4567908713692938
11,11m,0.06764553640339596,0.4567908713692938
11,11s,0.13623072595032254,0.4567908713692938
12,12c,0.06696563568815406,0.35196481583287476
12,12h,0.17150171821305824,0.35196481583287476
12,12m,0.09166070961412694,0.35196481583287476
13,13c,0.26386893987593446,0.4086689611217335
13,13h,0.1521465169618093,0.4086689611217335
13,13m,0.2834292084489013,0.4086689611217335
13,13s,0.26676276292510326,0.4086689611217335
14,14h,0.26458896501101065,0.20657604412923558
14,14m,0.24482121173141222,0.20657604412923558
14,14s,0.16987271733187534,0.20657604412923558
15,15c,0.2282618230443504,0.31118334550766974
15,15h,0.10538482358627352,0.31118334550766974
15,15m,0.16761097010021342,0.31118334550766974
15,15s,0.20218842263531983,0.31118334550766974
16,16h,0.30358276582410687,0.03752767902488567
16,16m,0.17256530310497792,0.03752767902488567
17,17c,0.21774404868444575,0.3092889004689943
17,17h,0.1392701630674305,0.3092889004689943
17,17s,0.12483386917274626,0.3092889004689943
18,18c,0.21759979685119338,0.4243418738049713
18,18h,0.22676046050019844,0.4243418738049713
19,19c,0.11298773006134945,0.36390653085680036
19,19h,0.3371609258246765,0.36390653085680036
19,19m,0.04187215273206058,0.36390653085680036
19,19s,0.12205635359116025,0.36390653085680036
1,1c,0.2564164794007489,0.2941134751773049
1,1h,0.10982865780411627,0.2941134751773049
1,1m,0.24519875676759567,0.2941134751773049
1,1s,0.20036993825572408,0.2941134751773049
20,20c,0.28981027287319405,0.17645766951942074
20,20h,0.19376165173827228,0.17645766951942074
20,20s,0.19313687581214026,0.17645766951942074
2,2c,0.3514745595489784,0.17463001351960344
2,2h,0.17134405250205098,0.17463001351960344
2,2m,0.17528616493916196,0.17463001351960344
2,2s,0.10590843992977174,0.17463001351960344
3,3c,0.16902553056699401,0.22242803543512274
3,3s,0.1917531300160513,0.22242803543512274
4,4c,0.11390549777117397,0.489640461792193
4,4h,0.21765169767139333,0.489640461792193
4,4m,0.19045750412314436,0.489640461792193
4,4s,0.22056469114506339,0.489640461792193
5,5c,0.10611901681759356,0.28141312938177176
5,5h,0.14724525975026967,0.28141312938177176
5,5m,0.1670244368079418,0.28141312938177176
5,5s,0.12136204041073191,0.28141312938177176
6,6c,0.20256939859190767,0.4348443280977313
6,6h,0.09902579989842565,0.4348443280977313
6,6m,0.22687606585056996,0.4348443280977313
6,6s,0.31213335652692514,0.4348443280977313
7,7c,0.36952922211269945,0.49464396284829676
7,7h,0.5794864559521711,0.49464396284829676
7,7m,0.23337399678972703,0.49464396284829676
7,7s,0.3068064489458451,0.49464396284829676
8,8h,0.07509912402028582,0.14111503477795606
9,9c,0.13875231624459547,0.38181956027293423
9,9h,0.04211262541806022,0.38181956027293423
9,9m,0.07427202106649114,0.38181956027293423
9,9s,0.014625512591932252,0.38181956027293423
16,16c,0.36584070796460166,0.03752767902488567
16,16s,0.16112676056338032,0.03752767902488567
18,18s,0.03349479940564636,0.4243418738049713
20,20m,0.14446901620177055,0.17645766951942074
8,8c,0.07043446030749917,0.14111503477795606
