PlateID,CowTagID,FragmentID,Top_Bottom,Site,totalSA_cm2,Respiration,NetPhoto,GrossPhoto
11,211,11h,Top,Varari,14.125000000000004,1.4724771662622164e-4,8.089559911304459e-4,9.562037077566676e-4
9,209,9s,Top,Varari,15.31399317406143,2.3394089269121362e-4,7.23587377716202e-4,9.575282704074157e-4
11,211,11s,Top,Varari,24.870307167235485,3.402184213583749e-4,7.707772225391868e-4,0.0011109956438975616
9,209,9c,Top,Varari,15.567307692307686,1.8949721192930977e-4,6.108381276183453e-4,8.003353395476551e-4
11,211,11m,Top,Varari,13.266211604095558,1.2972934228401025e-4,8.733533314600071e-4,0.0010030826737440174
11,211,11c,Top,Varari,39.88737201365185,1.5822010998358004e-4,3.874708121939722e-4,5.456909221775522e-4
9,209,9m,Top,Varari,14.605769230769225,2.5841710652399415e-4,7.27003161533322e-4,9.854202680573162e-4
8,208,8h,Top,Varari,20.85576923076924,3.3543854891396183e-4,0.001135525740006234,0.0014709642889201959
5,205,5c,Top,Varari,22.29807692307697,2.7401618153577526e-4,5.982213678616755e-4,8.722375493974508e-4
1,201,1c,Top,Varari,17.971153846153854,2.6483254274754634e-4,6.659806939548191e-4,9.308132367023655e-4
1,201,1s,Top,Varari,13.266211604095572,3.4639970722219037e-4,7.709456154716126e-4,0.001117345322693803
5,205,5s,Top,Varari,29.02884615384618,2.9121991415138654e-4,5.374576894025812e-4,8.286776035539678e-4
1,201,1h,Top,Varari,42.61774744027304,1.4793595968291929e-4,3.805746977340477e-4,5.285106574169669e-4
1,201,1m,Top,Varari,17.020477815699664,5.507021123927763e-4,9.932350502107514e-4,0.0015439371626035279
8,208,8c,Top,Varari,21.754266211604108,3.992735689319156e-4,0.0012729344725503618,0.0016722080414822774
16,216,16h,Top,Varari,16.337883959044373,6.255944694757394e-4,0.0015053278755323071,0.0021309223450080464
16,216,16s,Top,Varari,26.624999999999993,3.394897617440943e-4,7.276283134790951e-4,0.0010671180752231894
2,202,2m,Top,Varari,21.33653846153844,4.284514379386466e-4,0.001139969476183885,0.0015684209141225316
16,216,16m,Top,Varari,20.77474402730374,5.489109137193182e-4,0.0012851924850790283,0.0018341033987983465
2,202,2s,Top,Varari,13.60750853242321,3.071129281011126e-4,8.246623589029954e-4,0.001131775287004108
16,216,16c,Top,Varari,14.125000000000004,3.3213756259582283e-4,7.512965822952117e-4,0.0010834341448910344
2,202,2c,Top,Varari,13.64423076923076,4.1834019330826665e-4,8.353452599931495e-4,0.0012536854533014162
2,202,2h,Top,Varari,11.721153846153836,5.147343604256123e-4,9.150732292658077e-4,0.00142980758969142
12,212,12c,Top,Varari,17.35741008138619,3.811162605767798e-4,5.787340522147716e-4,9.598503127915514e-4
4,204,4c,Top,Varari,19.413461538461515,5.028322961401948e-4,8.136973585896349e-4,0.0013165296547298297
4,204,4s,Top,Varari,20.77474402730374,5.950723377090519e-4,0.0012446726211507695,0.0018397449588598213
4,204,4h,Top,Varari,26.235494880546067,6.167483780845888e-4,0.0013554493230394724,0.0019721977011240613
4,204,4m,Top,Varari,17.490384615384635,4.983828517934247e-4,9.366135720175184e-4,0.001434996423810943
12,212,12m,Top,Varari,15.655290102389069,1.5148433442034885e-4,3.837954209862035e-4,5.352797554065524e-4
12,212,12s,Top,Varari,16.337883959044373,5.137330453259921e-4,6.563691037053794e-4,0.0011701021490313716
12,212,12h,Top,Varari,25.18269230769233,2.7805071158753505e-4,3.482908908142298e-4,6.263416024017648e-4
15,215,15s,Top,Varari,18.726962457337883,6.258067292100333e-4,0.0011547915329125776,0.001780598262122611
19,219,19h,Top,Varari,18.726962457337883,5.239050726266388e-4,7.882208212905439e-4,0.0013121258939171828
19,219,19c,Top,Varari,20.375000000000043,4.6100440777527605e-4,6.27771428843971e-4,0.0010887758366192471
15,215,15c,Top,Varari,15.31399317406143,6.203043891101909e-4,0.0012065118872228262,0.001826816276333017
15,215,15h,Top,Varari,19.894230769230777,4.5333209252131903e-4,0.001086369432751149,0.001539701525272468
15,215,15m,Top,Varari,20.774744027303772,7.323030813024021e-4,0.0013446124423644368,0.002076915523666839
6,206,6m,Top,Varari,22.778846153846143,5.939778504971877e-4,9.182260793387585e-4,0.0015122039298359462
6,206,6s,Top,Varari,19.808840903124185,4.643230229684787e-4,6.64213110153147e-4,0.0011285361331216256
13,213,13c,Top,Varari,21.457337883959045,4.276147797284958e-4,4.337474148112427e-4,8.613621945397386e-4
13,213,13s,Top,Varari,17.3617747440273,3.664575768004692e-4,3.8986468553029824e-4,7.563222623307674e-4
13,213,13h,Top,Varari,15.99658703071672,3.0556168305002256e-4,3.414362095804667e-4,6.469978926304893e-4
6,206,6c,Top,Varari,13.540791546337624,4.341810754600969e-4,8.163081964886708e-4,0.0012504892719487678
13,213,13m,Top,Varari,15.99658703071672,4.031010940575152e-4,3.0777626685212276e-4,7.10877360909638e-4
6,206,6h,Top,Varari,18.932692307692296,5.514891110365467e-4,6.959989071357385e-4,0.001247488018172285
5,205,5h,Top,Varari,22.13993174061435,5.123389573892393e-4,6.84415402610371e-4,0.0011967543599996104
20,220,20h,Top,Varari,22.481228668941988,4.78941419045907e-4,4.560167764570073e-4,9.349581955029143e-4
20,220,20c,Top,Varari,17.971153846153854,3.6824992876056766e-4,3.972333510282623e-4,7.6548327978883e-4
20,220,20s,Top,Varari,18.385665529010247,4.054085331632418e-4,5.506540968700603e-4,9.560626300333021e-4
10,210,10h,Top,Varari,20.85576923076922,3.8623281927314805e-4,5.063821505639356e-4,8.926149698370836e-4
10,210,10c,Top,Varari,18.726962457337883,3.420739345267274e-4,5.794361865844468e-4,9.215101211111742e-4
20,220,20m,Top,Varari,20.433447098976103,4.834561620278115e-4,4.876471076008943e-4,9.711032696287058e-4
10,210,10s,Top,Varari,18.726962457337883,4.940989567932767e-4,3.9107356621865614e-4,8.851725230119328e-4
19,219,19m,Top,Varari,14.605769230769225,4.53419502766138e-4,4.076116111742752e-4,8.610311139404133e-4
9,209,9h,Top,Varari,13.266211604095558,4.189762991943225e-4,2.1032032543320854e-4,6.29296624627531e-4
19,219,19s,Top,Varari,16.67918088737201,4.5659216233165937e-4,3.5791508391131495e-4,8.145072462429743e-4
14,214,14s,Top,Varari,18.726962457337883,7.248162409445049e-4,0.0011444656973888597,0.0018692819383333645
18,218,18c,Top,Varari,18.932692307692317,4.895198011572146e-4,4.29051890961438e-4,9.185716921186525e-4
14,214,14h,Top,Varari,13.948805460750847,8.358814326727646e-4,0.001062980166172877,0.0018988615988456414
18,218,18h,Top,Varari,24.22115384615385,4.550223308254984e-4,5.822217680080742e-4,0.0010372440988335725
3,203,3c,Top,Varari,30.355769230769223,3.3746663380737087e-4,4.5920830521532563e-4,7.966749390226964e-4
3,203,3s,Top,Varari,17.971153846153854,5.670269685536412e-4,6.922721433078493e-4,0.0012592991118614905
14,214,14m,Top,Varari,13.266211604095572,9.595303433824568e-4,9.548309031820369e-4,0.0019143612465644937
18,218,18s,Top,Varari,19.413461538461537,5.174833569482241e-4,4.8037841058301865e-4,9.978617675312428e-4
7,207,7h,Top,Varari,19.40955631399319,3.703605241243909e-4,6.473945193937571e-4,0.001017755043518148
7,207,7c,Top,Varari,20.77474402730374,3.5354146401087944e-4,6.768285879596078e-4,0.0010303700519704872
17,217,17c,Top,Varari,19.068259385665552,5.921246900884028e-4,0.0012713868751331179,0.0018635115652215206
7,207,7m,Top,Varari,17.971153846153854,2.578463604925578e-4,4.257251883461012e-4,6.83571548838659e-4
7,207,7s,Top,Varari,23.259615384615408,2.659712458565443e-4,4.793401286042295e-4,7.453113744607738e-4
17,217,17s,Top,Varari,27.60068259385668,4.247347796008208e-4,8.4336576467546e-4,0.0012681005442762808
17,217,17h,Top,Varari,21.817307692307704,4.644959092399805e-4,8.829608373507864e-4,0.001347456746590767
5,205,5m,Top,Varari,25.18269230769233,4.4619633341564773e-4,5.755400070137889e-4,0.0010217363404294367
