Date,PlateID,CowTagID,Top_Bottom,Site,Surface_area_cm2,Respiration,NetPhoto,GrossPhoto
8/7/2021,18,218,Top,Varari,16.52884615384615,4.468135278331809e-4,9.435801006161054e-4,0.0013903936284492863
8/7/2021,2,202,Top,Varari,16.048076923076927,3.6002545392452203e-4,0.00099004207067146955,0.0013500675245959916
8/7/2021,8,208,Top,Varari,15.99658703071672,7.018263856494928e-4,0.0013110620677838324,0.002012888453433325
8/7/2021,11,211,Top,Varari,14.972696245733776,3.888677188193573e-4,5.819347908896847e-4,9.70802509709042e-4
8/7/2021,14,214,Top,Varari,17.971153846153854,5.284241865526751e-4,7.152355044912674e-4,0.0012436596910439424
8/7/2021,1,201,Top,Varari,12.68269230769232,4.4495372994753053e-4,6.870284860517915e-4,0.001131982215999322
8/7/2021,5,205,Top,Varari,15.086538461538463,4.1284976904921544e-4,6.565780500840765e-4,0.001069427819133292
8/7/2021,7,207,Top,Varari,12.92491467576792,6.443579811473638e-4,0.0010426191155187715,0.0016869770966661353
8/7/2021,13,213,Top,Varari,15.086538461538463,5.390021593535408e-4,8.845157257217224e-4,0.001423517885075263
8/7/2021,3,203,Top,Varari,32.39423076923077,3.629784615896221e-4,5.694707705707115e-4,9.324492321603336e-4
8/7/2021,19,219,Top,Varari,20.092150170648463,5.900063769038868e-4,8.969672447184029e-4,0.0014869736216222896
8/7/2021,6,206,Top,Varari,18.726962457337883,5.557328871428114e-4,6.411007084460198e-4,0.0011968335955888313
8/7/2021,20,220,Top,Varari,12.6826923076923,6.580240156418391e-4,0.0011458098911786235,0.0018038339068204626
8/7/2021,15,215,Top,Varari,13.948805460750847,5.891560567860665e-4,8.131597211236777e-4,0.0014023157779097443
8/7/2021,17,217,Top,Varari,17.490384615384635,5.094895867467636e-4,0.0010620431011319736,0.001571532687878737
8/7/2021,12,212,Top,Varari,13.607508532423196,4.697442430422727e-4,5.973919824751872e-4,0.00106713622551746
8/7/2021,10,210,Top,Varari,12.6826923076923,4.8641290210408526e-4,4.271197163737501e-4,9.135326184778353e-4
8/7/2021,4,204,Top,Varari,12.6826923076923,6.159467800036577e-4,0.001084550486827548,0.0017004972668312056
8/7/2021,16,216,Top,Varari,14.63139931740614,7.359933001270093e-4,0.0013723995750170486,0.0021083928751440576
8/7/2021,9,209,Top,Varari,13.266211604095558,6.175142183618065e-4,0.001054113071472858,0.0016716272898346645
