CowTagID,Fragment_type,FragmentID,totalSA_cm2
1,Post_exp,1c,17.971153846153854
2,Post_exp,2m,21.33653846153844
9,Post_exp,9c,15.567307692307686
5,Post_exp,5s,29.02884615384618
5,Post_exp,5c,22.298076923076966
2,Post_exp,2h,11.721153846153836
18,Post_exp,18s,19.413461538461537
4,Post_exp,4m,17.490384615384635
3,Post_exp,3s,17.971153846153854
20,Post_exp,20c,17.971153846153854
7,Post_exp,7m,17.971153846153854
7,Post_exp,7s,23.259615384615408
8,Post_exp,8h,20.85576923076924
3,Post_exp,3c,30.355769230769223
9,Post_exp,9m,14.605769230769225
19,Post_exp,19m,14.605769230769225
15,Post_exp,15h,19.894230769230777
16,Post_exp,16c,14.125000000000004
16,Post_exp,16s,26.624999999999993
18,Post_exp,18h,24.22115384615385
17,Post_exp,17h,21.817307692307704
2,Post_exp,2c,13.644230769230761
19,Post_exp,19c,20.375000000000043
18,Post_exp,18c,18.932692307692317
12,Post_exp,12h,25.18269230769233
4,Post_exp,4c,19.413461538461515
6,Post_exp,6h,18.932692307692296
6,Post_exp,6m,22.778846153846143
11,Post_exp,11h,14.125000000000004
5,Post_exp,5m,25.18269230769233
10,Post_exp,10h,20.85576923076922
1,Post_exp,1h,42.61774744027304
11,Post_exp,11c,39.88737201365185
19,Post_exp,19h,18.726962457337883
1,Post_exp,1s,13.266211604095572
13,Post_exp,13s,17.3617747440273
4,Post_exp,4s,20.77474402730374
13,Post_exp,13c,21.457337883959045
6,Post_exp,6s,19.808840903124185
7,Post_exp,7c,20.77474402730374
9,Post_exp,9h,13.266211604095558
20,Post_exp,20m,20.433447098976103
10,Post_exp,10s,18.726962457337883
7,Post_exp,7h,19.40955631399319
2,Post_exp,2s,13.60750853242321
10,Post_exp,10c,18.726962457337883
14,Post_exp,14s,18.726962457337883
8,Post_exp,8c,21.754266211604108
14,Post_exp,14m,13.266211604095572
15,Post_exp,15s,18.726962457337883
13,Post_exp,13m,15.99658703071672
15,Post_exp,15c,15.31399317406143
12,Post_exp,12c,17.35741008138619
16,Post_exp,16h,16.337883959044373
15,Post_exp,15m,20.774744027303772
14,Post_exp,14h,13.948805460750847
13,Post_exp,13h,15.99658703071672
17,Post_exp,17c,19.068259385665552
20,Post_exp,20s,18.385665529010247
9,Post_exp,9s,15.31399317406143
17,Post_exp,17s,27.60068259385668
12,Post_exp,12s,16.337883959044373
1,Post_exp,1m,17.020477815699664
11,Post_exp,11m,13.266211604095558
5,Post_exp,5h,22.13993174061435
12,Post_exp,12m,15.655290102389067
6,Post_exp,6c,13.540791546337623
11,Post_exp,11s,24.870307167235485
4,Post_exp,4h,26.235494880546067
19,Post_exp,19s,16.67918088737201
20,Post_exp,20h,22.481228668941988
16,Post_exp,16m,20.77474402730374
11,PI_curve,U,19.413461538461515
18,PI_curve,N,14.125000000000004
10,PI_curve,T,16.048076923076927
2,PR_initial,E,16.048076923076927
17,PR_initial,H,17.490384615384635
3,PR_initial,C,32.39423076923077
13,PR_initial,W,15.086538461538465
20,PR_initial,L,12.6826923076923
10,PR_initial,T,12.6826923076923
18,PR_initial,N,16.52884615384615
4,PR_initial,J,12.6826923076923
14,PR_initial,X,17.971153846153854
1,PR_initial,I,12.68269230769232
5,PR_initial,O,15.086538461538465
10,Physio_initial,T,24.70192307692307
19,Physio_initial,V,16.048076923076927
7,Physio_initial,M,9.3173076923077
13,Physio_initial,W,15.086538461538465
1,Physio_initial,I,12.201923076923078
3,Physio_initial,C,18.451923076923052
20,Physio_initial,L,14.605769230769225
4,Physio_initial,J,17.490384615384635
6,Physio_initial,F,16.52884615384615
16,Physio_initial,S,18.93269230769234
9,Physio_initial,B,12.6826923076923
18,Physio_initial,N,15.086538461538465
15,Physio_initial,D,13.163461538461542
14,Physio_initial,X,12.201923076923078
11,Physio_initial,U,20.855769230769262
12,Physio_initial,G,17.490384615384635
2,Physio_initial,E,21.33653846153846
17,Physio_initial,H,18.451923076923073
8,Physio_initial,R,17.971153846153854
5,Physio_initial,O,15.086538461538465
15,PI_curve,D,13.60750853242321
2,PI_curve,E,15.31399317406143
8,PI_curve,R,12.583617747440266
15,PR_initial,D,13.948805460750847
19,PR_initial,V,20.092150170648466
8,PR_initial,R,15.99658703071672
6,PR_initial,F,18.726962457337883
12,PR_initial,G,13.607508532423195
11,PR_initial,U,14.972696245733777
16,PR_initial,S,14.631399317406139
7,PR_initial,M,12.92491467576792
9,PR_initial,B,13.266211604095558
