CowTagID,Sample_Weight,N_ug,del15N,C_ug,del13C,N_percent,C_percent,C_N
1,2.6618,25.2,4.6,870.3,-9.8,0.946727778,32.69592005,34.53571429
2,2.5177,26.4,4.4,849.9,-13.1,1.048576081,33.75700044,32.19318182
3,2.5442,27.5,4,892.4,-10.4,1.080889867,35.07585882,32.45090909
4,2.6634,30.9,3.9,912.8,-12.1,1.16017121,34.27198318,29.54045307
5,2.6362,25.7,4.1,887.6,-10.3,0.974888097,33.66967605,34.53696498
6,2.4765,26.6,4.9,833.8,-10.3,1.074096507,33.66848375,31.34586466
7,2.503,24.9,4.8,780.1,-10.5,0.994806233,31.16660008,31.32931727
8,2.5556,32.3,5.2,870.7,-11.4,1.263891063,34.07027704,26.95665635
9,2.5896,23.1,3.6,885.6,-9.2,0.892029657,34.19833179,38.33766234
10,2.5469,24.9,4,838.2,-11.3,0.977659115,32.9105972,33.6626506
11,2.6013,30.9,4.5,876,-10.6,1.187867605,33.67546996,28.34951456
12,2.4693,27.2,3.8,846.5,-15.5,1.101526748,34.28097032,31.12132353
13,2.5605,24.3,3.6,883.1,-11.3,0.949033392,34.48935755,36.34156379
14,2.5775,23,4.5,845,-10.4,0.892337536,32.78370514,36.73913043
15,2.6503,30.2,4.6,908.8,-10.8,1.139493642,34.29045768,30.09271523
16,2.498,21.9,3.7,836.9,-10.5,0.876701361,33.50280224,38.21461187
17,2.5281,27.3,4.3,841.7,-10.2,1.079862347,33.29377794,30.83150183
18,2.4145,28.2,4.3,817.5,-11.4,1.167943674,33.8579416,28.9893617
19,2.6137,27.1,3.5,928.1,-9.5,1.03684432,35.50904848,34.24723247
20,2.5397,25.1,3.8,842.7,-12.9,0.988305705,33.18108438,33.57370518
