Plate_ID,Treatment,Missing_central,Missing_comp,Notes
13,m,0,0,
13,s,0,0,
13,c,0,0,
13,h,0,0,
20,m,0,0,
20,s,0,0,
20,c,0,0,
20,h,0,0,
19,m,0,0,
19,s,0,0,
19,c,0,0,
19,h,0,0,
10,m,1,0,
10,s,0,1,
10,c,0,0,
10,h,0,1,
9,m,0,0,
9,s,0,0,
9,c,0,0,
9,h,0,0,
8,m,1,0,
8,s,1,1,
8,c,0,0,
8,h,0,1,
18,m,1,0,
18,s,0,2,
18,c,0,0,
18,h,0,0,
7,m,0,0,
7,s,0,0,
7,c,0,0,
7,h,0,0,
11,m,0,0,
11,s,0,0,
11,c,0,0,
11,h,0,0,
12,m,0,0,
12,s,0,0,
12,c,0,1,
12,h,0,1,
1,m,0,0,
1,s,0,0,
1,c,0,0,
1,h,0,0,
2,m,0,0,
2,s,0,0,
2,c,0,1,
2,h,0,0,Plate twisted and touching turbinaria
3,m,1,0,
3,s,0,1,
3,c,0,0,
3,h,1,0,
4,m,0,0,
4,s,0,1,
4,c,0,0,
4,h,0,0,
16,m,0,0,
16,s,0,0,
16,c,0,0,
16,h,0,2,
5,m,0,0,
5,s,0,0,
5,c,0,0,
5,h,0,0,
15,m,0,0,
15,s,0,0,
15,c,0,0,
15,h,0,0,
6,m,0,0,
6,s,0,1,
6,c,0,0,
6,h,0,0,
17,m,1,0,
17,s,0,1,
17,c,0,1,
17,h,0,0,
14,m,0,0,
14,s,0,0,
14,c,1,2,
14,h,0,0,
